id,presence,candidate_term_left,candidate_term_right,occurrence,full_context
H20_economy_12,left,"['varones', 'homosexuales', 'heterosexuales', 'varones homosexuales']",[None], entre varones homosexuales y heterosexuales los tamaños,una diferencia estadísticamente significativa en el tamaño medio de la comisura anterior entre varones homosexuales y heterosexuales los tamañosde las comisuras anteriores de 27 de los 30 hombres homosexuales de
H20_economy_13,both,['generación'],['frecuencia'], Entre los japoneses de primera generación en Hawaii la frecuencia,"10 veces menor, tan sólo del 0, 5 %. Entre los japoneses de primera generación en Hawaii la frecuenciade cáncer de colon ha aumentado varias veces, sin alcanzar todavía"
H20_economy_14,both,"['genes', 'mutantes', 'yellow', 'genes mutantes']",['white'], entre los genes mutantes yellow white,"...». Por ejemplo, Sturtevant compiló datos sobre la recombinación entre los genes mutantes yellow whitey miniature, estudiados inicialmente por Morgan. Las frecuencias de entrecruzamiento"
H20_economy_15,left,"['proporciones', 'proporciones sexuales', 'proporciones sexuales primaria']",[None], entre las proporciones sexuales primaria y secundaria una posibilidad,"proporción sexual secundaria es 1, 15. Para explicar la diferencia entre las proporciones sexuales primaria y secundaria una posibilidades que la mortalidad femenina prenatal sea mayor que la masculina."
H20_economy_16,both,"['portadores', 'homocigotos', 'normales']",['análisis'], entre portadores y homocigotos normales el análisis,"de portador. Dado que en estas pruebas suele existir una solapación entre portadores y homocigotos normales el análisisno puede determinar con certeza el estado de portador, pero nos"
H20_economy_17,left,['células'],[None], entre las células la carencia,. Como los vasos linfáticos drenan de ordinario el exceso de líquido entre las células la carenciade linfáticos en los tumores podría contribuir a una elevación de la
H20_economy_18,both,"['porciones', 'específicas', 'porciones específicas']",['secuencias'], entre las porciones específicas X e Y las secuencias,"masculina. Si la recombinación ocurre por debajo del limite seudoautosómico, entre las porciones específicas X e Y las secuenciasque generan la diferenciación sexual del varón pueden translocarse de Y a"
H20_economy_19,none,[None],[None], entre los departamentos agencias,"tuvo corta vida. A medida que se sucedieron las reuniones organizativas entre los departamentos agenciase individuos liderantes, se desarrolló un consenso que se expresa,"
H20_economy_20,both,['fenotipo'],['genotipo'], entre fenotipo genotipo,/ N N / N. Una consecuencia importante de las relaciones entre fenotipo genotipoy frecuencias alélicas es que las proporciones de los genotipos no cambian
H20_economy_21,both,"['volumen', 'inóculo', 'volumen del inóculo']",['probabilidades'], entre el volumen del inóculo las probabilidades,"frecuencia. Por lo tanto, es necesario llegar a un compromiso entre el volumen del inóculo las probabilidadesde contaminación del mismo y las de degeneración de cepas y la"
H20_economy_22,both,['espondilitis anquilosante'],['enfermedad'], entre xxx y espondilitis anquilosante una enfermedad,de la tabla 14-2). También existe una asociación muy fuerte entre xxx y espondilitis anquilosante una enfermedadinflamatoria crónica de la columna vertebral y las articulaciones sacroilíacas. Mientras
H20_economy_23,both,['molécula'],['proteína'], entre una molécula de xxx una proteína,por el mismo antígeno. Figura 14-3 Representación esquemática de la interacción entre una molécula de xxx una proteínaextraña y el receptor de linfocitos T Tabla 14-3 Ejemplos de trastornos
H20_economy_24,both,['especies'],['bacterias'], entre las especies las bacterias,a los productos de desecho. Pero en la lucha sin tregua entre las especies las bacteriaspatógenas han adquirido la capacidad de infiltrarse en las defensas celulares y
H20_economy_25,left,['africanos'],[None], entre africanos asiáticos,nuestro en septiembre.) Otros estudios resaltaban la ausencia de homocigóticos entre africanos asiáticoso afroamericanos. Señalaban que entre el 1 y el 2 por
H20_economy_26,both,['poblaciones'],['episodios'], entre grupos de poblaciones los episodios,"de secuencias de ADN, se descubrirán con mayor nitidez las relaciones entre grupos de poblaciones los episodiosde mezcla y los períodos de separación y migración. Se verá"
H20_economy_27,left,['ejemplos'],[None], entre los ejemplos comerciales se incluyen Sephadex Sepharosa,hechas de un polímero insoluble como el dextrano o la agarosa ( entre los ejemplos comerciales se incluyen Sephadex Sepharosay Bio-gel) Precipitación salina. La preparación de proteínas se fracciona
