Reference,LeftContext,Pivot,RightContext,presence,candidate_term_left,candidate_term_right,occurrence
1_e00032-plain,establecido en la correspondiente circular. CÁLCULO DE GARANTÍAS Se realizará por,"el_ART_el procedimiento_NC_procedimiento de_PREP_de análisis_NC_análisis de_PREP_de la_ART_el cartera_NC_cartera,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta todos_QU_todo los_ART_el Contratos_NC_contrato",(opciones y futuros) de una misma cartera para hallar el,left,"['análisis', 'cartera', 'procedimiento de análisis']",[None], el procedimiento de análisis de la cartera teniendo en cuenta todos los Contratos
1_e00032-plain,de liquidación por métodos alternativos. CÁLCULO DE GARANTÍAS Se realizará por,"el_ART_el procedimiento_NC_procedimiento de_PREP_de análisis_NC_análisis de_PREP_de cartera_NC_cartera,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta todos_QU_todo los_ART_el contratos_NC_contrato",(opciones y futuros) de una misma cartera para hallar el,both,"['análisis', 'cartera', 'procedimiento de análisis']",['contratos'], el procedimiento de análisis de cartera teniendo en cuenta todos los contratos
1_e00032-plain,de liquidación por métodos alternativos. CÁLCULO DE GARANTÍAS Se realizará por,"el_ART_el procedimiento_NC_procedimiento de_PREP_de análisis_NC_análisis de_PREP_de cartera_NC_cartera,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta todos_QU_todo los_ART_el contratos_NC_contrato",(opciones y futuros) de una misma cartera para hallar el,both,"['análisis', 'cartera', 'procedimiento de análisis']",['contratos'], el procedimiento de análisis de cartera teniendo en cuenta todos los contratos
1_e00032-plain,de liquidación por métodos alternativos. CÁLCULO DE GARANTÍAS Se realizará por,"el_ART_el procedimiento_NC_procedimiento de_PREP_de análisis_NC_análisis de_PREP_de cartera_NC_cartera,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta todos_QU_todo los_ART_el contratos_NC_contrato",(opciones y futuros) de una misma cartera para hallar el,both,"['análisis', 'cartera', 'procedimiento de análisis']",['contratos'], el procedimiento de análisis de cartera teniendo en cuenta todos los contratos
1_e00051-plain,cantidad a producir de los bienes que han desarrollado para maximizar sus,"beneficios_NC_beneficio,_CM_, teniendo_VLger_tener en_PREP_en cuenta_NC_cuenta que_CQUE_que la_ART_el demanda_NC_demanda",de los bienes por ellos producidos viene dada por (9.,right,[None],['demanda'], beneficios teniendo en cuenta que la demanda
1_e00053-plain,", si es preciso, elevar los costos compitiendo entre si por","los_ART_el factores_NC_factor de_PREP_de la_ART_el producción_NC_producción,_CM_, hasta_PREP_hasta el_ART_el valor_NC_valor","de N en que Z es igual a D. Así,",both,"['factores', 'producción']",['valor'], los factores de la producción hasta el valor
1_e00053-plain,"realizan los empresarios entre si, no puede haber una definición de","las_ART_el sumas_NC_suma globales_ADJ_global pagadas_VLadj_pagar por_PREP_por los_ART_el compradores_NC_comprador,_CM_, incluyendo_VLger_incluir el_ART_el costo_NC_costo","de uso, el cual es independiente de estos factores. Una",both,"['sumas', 'globales']",['costo'], las sumas globales pagadas por los compradores incluyendo el costo
1_e00079-plain,"] Por lo que hace a nuestra temática, podemos dar tranquilamente","un_ART_un salto_NC_salto por_PREP_por encima_ADV_encima de_PREP_de 500_CARD_@card@ años_NC_año,_CM_, hasta_PREP_hasta la_ART_el época_NC_época","de santo Tomás de Aquino (1225-1274), cuya Summa Theologica",both,"['encima', 'años']",['época'], un salto por encima de años hasta la época
1_e00079-plain,era seguir adelante por una línea inequívocamente trazada- ni aplicar el mismo,"método_NC_método a_PREP_a otras_QU_otro mercancías_NC_mercancía,_CM_, hasta_PREP_hasta el_ART_el trabajo_NC_trabajo",de H. L. Moore en 1914 (cfr. infra,both,['método'],['trabajo'], método a otras mercancías hasta el trabajo
1_e00079-plain,gobierno conservador de sir Robert Peel realizó (en lo esencial),"el_ART_el librecambio_NC_librecambio,_CM_, incluso_ADV_incluso el_ART_el punto_NC_punto","más difícil del programa, a saber: la supresión del gravamen",both,['librecambio'],['punto'], el librecambio incluso el punto
1_e00079-plain,"que emprendió. A partir de 1821 vagabundeó por el Canadá,","los_ART_el Estados_NC_estado Unidos_NP_Unidos y_CC_y otros_QU_otro países_NC_país,_CM_, incluidas_VLadj_incluir las_ART_el islas_NC_isla","Hawai, realizando en todas partes rudos trabajos (los dos empleos",none,[None],[None], los Estados Unidos y otros países incluidas las islas
1_e00079-plain,por principio de responsabilidad política [7] y redujo así su,"influencia_NC_influencia práctica_ADJ_práctico,_CM_, incluso_ADV_incluso en_PREP_en cuestiones_NC_cuestión","de legislación social, a mucho menos de lo que habría podido",left,['influencia'],[None], influencia práctica incluso en cuestiones
1_e00079-plain,"tipo antiguo, que habían asimilado elementos más o menos importantes de","reformismo_NC_reformismo social_ADJ_social,_CM_, hasta_PREP_hasta grupos_NC_grupo",de intelectuales herederos directos de los filósofos radicales de la vieja época,none,[None],[None], reformismo social hasta grupos
1_e00079-plain,", sin duda, muchas consideraciones extra-estáticas, principalmente en materia de","crecimiento_NC_crecimiento,_CM_, y_CC_y también_ADV_también sobre_PREP_sobre secuencias_NC_secuencia,_CM_, hasta_PREP_hasta el_ART_el punto_NC_punto",de que se puede decir que ha planteado la tarea de la,both,['crecimiento'],['punto'], crecimiento y también sobre secuencias hasta el punto
1_e00091-plain,el bono español marcó diferenciales mínimos respecto al bono alemán en diversas,"ocasiones_NC_ocasión a_PREP_a lo_ART_el largo_NC_largo del_PDEL_del año_NC_año,_CM_, hasta_PREP_hasta el_ART_el punto_NC_punto",de que a principios de 1997 dicho diferencial llegó a caer por,both,"['largo', 'año', 'largo del año']",['punto'], ocasiones a lo largo del año hasta el punto
1_e00091-plain,"también por un auge importante de las exportaciones, en particular,","gracias_NC_gracia al_PAL_al turismo_NC_turismo,_CM_, hasta_PREP_hasta el_ART_el punto_NC_punto",que el saldo de la rúbrica de la balanza de pagos correspondiente,right,[None],['punto'], gracias al turismo hasta el punto
1_e00091-plain,"experimentaron un aumento espectacular, más de 23. 500 millones de","dólares_NC_dólar,_CM_, hasta_PREP_hasta alcanzar_VLinf_alcanzar un_ART_un saldo_NC_saldo","a fin de año de 61. 828 millones, superior en",both,['dólares'],"['alcanzar', 'saldo']", dólares hasta alcanzar un saldo
