Reference	LeftContext	Pivot	RightContext
1_m00306-plain	áreas de los cromosomas que son genéticamente inertes, que reciben el	nombre_NC_nombre de_PREP_de heterocromatina_NC_heterocromatina	. Un ejemplo de tal efecto de posición se da en hembras
1_m00306-plain	esencial es necesario y entonces se detiene; esta temperatura recibe el	nombre_NC_nombre de_PREP_de condición_NC_condición	restrictiva. Si se cultiva en una condición permisiva a 25°
1_m00306-plain	y en las características de los descendientes; esta información recibe el	nombre_NC_nombre de_PREP_de información_NC_información	genética. También podríamos concluir que esta misma información debe de dirigir
1_m00306-plain	de la cantidad original de material genético. Este proceso recibe el	nombre_NC_nombre de_PREP_de meiosis_NC_meiosis	. Aunque los productos de la mitosis y de la meiosis son
1_m00306-plain	el principio transformante [0] Actualmente, este organismo recibe el	nombre_NC_nombre de_PREP_de Streptoroccus_NP_Streptoroccus	pneumoniae. Replicación y recombinación del DNA CONCEPTOS DEL CAPÍTULO La continuidad
1_m00306-plain	. coli se ha cartografiado esta región específica, que recibe el	nombre_NC_nombre de_PREP_de oriC_NC_oric	. Esta consiste en 245 pares de bases, pero sólo un
1_m00306-plain	células (in vitro). Actualmente, esta enzima recibe el	nombre_NC_nombre de_PREP_de DNA_NC_dna	polimerasa I, ya que fue la primera en aislarse. Kornberg
1_m00327-plain	provocan la formación de nuevos vasos sanguíneos (proceso que recibe el	nombre_NC_nombre de_PREP_de angiogénesis_NC_angiogénesis	) para nutrir la masa de rápido crecimiento expansivo. Los vasos
1_m00327-plain	que dan lugar a una zona difusa que se conoce con el	nombre_NC_nombre de_PREP_de borde_NC_borde	de invasión y es precisamente ahí donde las células abandonan de manera
1_m00327-plain	. Una de sus variedades, la que se conoce con el	nombre_NC_nombre de_PREP_de colágeno_NC_colágeno	de tipo IV, constituye el esqueleto de la barrera representada por
1_m00327-plain	siempre en las células tumorales no metastáticas. Esa proteína recibió el	nombre_NC_nombre de_PREP_de nm23_NC_nm23	(no metastática 23). Los estudios clínicos realizados por nuestro
1_m00334-plain	neoplasia o tumor) que invade tejidos vecinos (de ahí el	nombre_NC_nombre de_PREP_de cáncer_NC_cáncer	que significa cangrejo) y puede producir también metástasis en layares más
1_m00337-plain	ver página 66) y se numeran en serie, empleando el	nombre_NC_nombre del_PDEL_del locus_NC_locus	seguido de un asterisco y un número de serie, por ejemplo
1_m00678-plain	tipo de adhesión célula-célula pertenecen a grupos que se conocen con los	nombres_NC_nombre de_PREP_de cadherinas_NC_cadherinas	, selectinas o inmunoglobulinas. Hallamos, asimismo, que las integrinas
1_m00689-plain	multienzimáticos. A esas macroestructuras el grupo de Goldberg les dio el	nombre_NC_nombre de_PREP_de proteosomas_NC_proteosoma	. Se les llamó así porque contienen muchas proteasas, enzimas que
1_m00699-plain	habituales en la eritropoyetina. La nueva versión, comercializada con el	nombre_NC_nombre de_PREP_de Aranesp_NP_Aranesp	, permanece en la sangre mucho más tiempo que el fármaco primitivo
1_m00699-plain	el azúcar y queden liberados. Dos fármacos, comercializados con los	nombres_NC_nombre de_PREP_de Tamiflu_NP_Tamiflu	y Relenza, acortan la duración de la gripe al unirse fuertemente
1_m00731-plain	inglés primers) en la reacción. Estos oligos reciben también el	nombre_NC_nombre de_PREP_de amplímeros_NC_amplímeros	. Cuando se mezclan con DNA genómico desnaturalizado los amplímeros se unen
1_m00731-plain	. Esta versión de la reacción estándar sobre DNA genómico recibe el	nombre_NC_nombre de_PREP_de RT-PCR_NC_RT-PCR	(acrónimo del inglés Reverse Transcriptase PCR, o transcriptasa inversa PCR
1_m00898-plain	, frecuentemente asociada a la 13708 o la 14484. Recibe su	nombre_NC_nombre del_PDEL_del hecho_NC_hecho	de que en diversos estudios se ve asociada a alguna de las
