cm,type,field,text_id,target_tokens,target_tags,sentence,context,det,specialized_lang,det_sum,selection_features
M01,Parties du même genre,law,text_id d00151,"['La', 'clasificación', 'funcional', 'agrupará', 'los', 'créditos', 'según', 'la', 'naturaleza']","['AFS', 'N5-FS', 'JQ--6S', 'VDU3S-', 'AMP', 'N5-MP', 'P', 'AFS', 'N5-FS']",La clasificación funcional agrupará los créditos según la naturaleza,"clasificación orgánica agrupará los créditos para gastos por cada servicio . b)La clasificación funcional agrupará los créditos según la naturalezade las actividades a realizar . c) Los Organos_Constitucionales , los Departamentos","['AFS', 'AMP', 'AFS']",TRUE,def,M01_law_def
M01,Parties du même genre,law,text_id d00063,"['la', 'especialización', 'correspondiente', 'o', 'reúnan', 'las', 'condiciones', 'o', 'méritos', 'exigidos']","['AFS', 'N5-FS', 'JQ--6S', 'C', 'VJR3P-', 'AFP', 'N5-FP', 'C', 'N5-MP', 'VC--PM']",la especialización correspondiente o reúnan las condiciones o méritos exigidos,"la resolución de el concurso que la anuncie tendrán preferencia quienes acreditenla especialización correspondiente o reúnan las condiciones o méritos exigidos, y , en su caso de igualdad , será preferido el","['AFS', 'AFP']",TRUE,def,M01_law_def
M01,Parties du même genre,law,text_id d00111,"['el', 'carácter', 'originario', 'porque', 'reúne', 'las', 'condiciones', 'establecidas', 'en', 'la']","['AMS', 'N5-MS', 'JQ--MS', 'C', 'VDR3S-', 'AFP', 'N5-FP', 'VC--PF', 'P', 'AFS']",el carácter originario porque reúne las condiciones establecidas en la,"con dichas materias . Por_consiguiente , si un producto que ha adquiridoel carácter originario porque reúne las condiciones establecidas en lalista correspondiente a ese producto es utilizado en la fabricación de otro","['AMS', 'AFP', 'AFS']",TRUE,def,M01_law_def
M01,Parties du même genre,law,text_id d00144,"['el', 'adquirente', 'reúna', 'los', 'requisitos', 'legales']","['AMS', 'N5-6S', 'VJR6S-', 'AMP', 'N5-MP', 'JQ--6P']",el adquirente reúna los requisitos legales,"y podrá ser renovada sucesivamente por períodos iguales . b) Siempre queel adquirente reúna los requisitos legales, la concesión será transferible , previa autorización administrativa . Los titulares","['AMS', 'AMP']",TRUE,def,M01_law_def
M01,Parties du même genre,computer_science,text_id i00134,"['Los', 'sistemas', 'operativos', 'agrupan', 'la', 'información']","['AMP', 'N5-MP', 'JQ--MP', 'VDR3P-', 'AFS', 'N5-FS']",Los sistemas operativos agrupan la información,se van a utilizar etc. ). Administración de el sistema de ficherosLos sistemas operativos agrupan la información( datos y programas ) dentro de compartimentos lógicos para almacenar la,"['AMP', 'AFS']",TRUE,def,M01_computer_science_def
M01,Parties du même genre,computer_science,text_id i00083,"['La', 'categorización', 'implica', 'agrupar', 'la', 'información', 'por', 'alguna', 'categoría']","['AFS', 'N5-FS', 'V8R6S-', 'VI----', 'AFS', 'N5-FS', 'P', 'EN--FS', 'N5-FS']",La categorización implica agrupar la información por alguna categoría,"en las aplicaciones que requieren categorización y asociatividad de la información .La categorización implica agrupar la información por alguna categoríagenérica ( p. ej. , todos los automóviles subcompactos o todos los","['AFS', 'AFS']",TRUE,def,M01_computer_science_def
M01,Parties du même genre,medicine,text_id m00246,"['La', 'proteína', 'se', 'une', 'la', 'membrana', 'de', 'el', 'orgánulo']","['AFS', 'N5-FS', 'R6EZZZZ', 'VDR3S-', 'AFS', 'N5-FS', 'P', 'AMS', 'N5-MS']",La proteína se une la membrana de el orgánulo,proteína pasa a_través_de la membrana y la secuencia líder es rota .La proteína se une la membrana de el orgánulomediante la secuencia líder Proteína precursora traducida por ribosomas libres . La,"['AFS', 'AFS', 'AMS']",TRUE,def,M01_medicine_def
M01,Parties du même genre,medicine,text_id m00422,"['el', 'lípido', 'A', 'antes_de_que', 'se', 'unan', 'los', 'ácidos', 'grasos', 'de', 'el']","['AMS', 'N5-MS', 'P', 'D', 'R6EZZZZ', 'VJR3P-', 'AMP', 'N5-MP', 'JQ--MP', 'P', 'AMS']",el lípido A antes_de_que se unan los ácidos grasos de el,"de el Kdo , que suele agregar se a un precursor deel lípido A antes_de_que se unan los ácidos grasos de ellípido . Los análogos inhiben la actividad de una enzima necesaria para","['AMS', 'AMP', 'AMS']",TRUE,def,M01_medicine_def
M01,Parties du même genre,medicine,text_id m00200,"['las', 'vellosidades', 'unen', 'la', 'capa', 'interna', 'con', 'la']","['AFP', 'N5-FP', 'VDR3P-', 'AFS', 'N5-FS', 'JQ--FS', 'P', 'AFS']",las vellosidades unen la capa interna con la,vasos maternos . Numerosos travesaños sinciciotrofoblásticos que constituyen los primeros esbozos delas vellosidades unen la capa interna con lacubierta al_través de los lagos sanguíneos . Esta es la etapa trabecular,"['AFP', 'AFS', 'AFS']",TRUE,def,M01_medicine_def
M01,Parties du même genre,medicine,text_id m00194,"['los', 'resultados', 'con', 'las', 'medidas', 'agrupando', 'las', 'pruebas', 'según', 'el', 'anteperíodo']","['AMP', 'N5-MP', 'P', 'AFP', 'N5-FP', 'VG----', 'AFP', 'N5-FP', 'P', 'AMS', 'N5-MS']",los resultados con las medidas agrupando las pruebas según el anteperíodo,contacto con la plataforma lateral . En la figura 7 se muestranlos resultados con las medidas agrupando las pruebas según el anteperíodoen que fueron obtenidas . Una ojeada superficial permite observar la diferencia,"['AMP', 'AFP', 'AFP', 'AMS']",TRUE,def,M01_medicine_def
M01,Parties du même genre,medicine,text_id m00368,"['el', 'DNA', 'donde', 'se', 'une', 'la', 'polimerasa', 'de', 'RNA', 'para']","['AMS', 'N4666', 'D', 'R6EZZZZ', 'VDR3S-', 'AFS', 'N5-FS', 'P', 'N4666', 'P']",el DNA donde se une la polimerasa de RNA para,promotor lac . El promotor ( P ) es el sitio enel DNA donde se une la polimerasa de RNA parainiciar la transcripción . El sitio operador lac . El operador (,"['AMS', 'AFS']",TRUE,def,M01_medicine_def
M01,Parties du même genre,medicine,text_id m00110,"['una', 'parte', 'posteroinferior', 'une', 'el', 'hígado', 'con', 'el', 'borde']","['E6--FS', 'N5-6S', 'JQ--6S', 'VDR3S-', 'AMS', 'N5-MS', 'P', 'AMS', 'N5-MS']",una parte posteroinferior une el hígado con el borde,envuelve a el hígado y constituye el peritoneo hepático propiamente dicho ;una parte posteroinferior une el hígado con el bordeanterior de el estómago y la parte superior de el duodeno y,"['E6--FS', 'AMS', 'AMS']",TRUE,mix,M01_medicine_mix
M01,Parties du même genre,medicine,text_id m00755,"['el', 'extremo', 'xxx', 'se', 'une', 'una', 'proteína']","['AMS', 'N5-MS', 'W', 'R6EZZZZ', 'VDR3S-', 'E6--FS', 'N5-FS']",el extremo xxx se une una proteína,"cap ) , mientras que el xxx se encuentra poliadenilado . Ael extremo xxx se une una proteínaque impide la digestión de ese extremo por las xxx exorribonucleasas ,","['AMS', 'E6--FS']",TRUE,mix,M01_medicine_mix
M01,Parties du même genre,medicine,text_id m00317,"['una', 'especie', 'podemos', 'agrupar', 'los', 'demos', 'en', 'grandes', 'regiones']","['E6--FS', 'N5-FS', 'VDR1P-', 'VI----', 'AMP', 'N5-MP', 'P', 'JQ--6P', 'N5-FP']",una especie podemos agrupar los demos en grandes regiones,"niveles de subdivisión . Así , si consideramos la distribución total deuna especie podemos agrupar los demos en grandes regionesgeográficas ( p. ej. , regiones biogeográficas ) , dentro de ellas","['E6--FS', 'AMP']",TRUE,mix,M01_medicine_mix
M01,Parties du même genre,linguistics,text_id l00055,"['la', 'relación', 'una', 'lengua-una', 'nación', 'se', 'empezó', 'a']","['AFS', 'N5-FS', 'VJR6S-', 'E6--FS', 'N5-FS', 'R6EZZZZ', 'VDP3S-', 'P']",la relación una lengua-una nación se empezó a,todo el nacionalismo de el siglo XIX . Sólo en ese momentola relación una lengua-una nación se empezó aconcebir como forzosa . En el caso de México esa necesidad fue,"['AFS', 'E6--FS']",TRUE,mix,M01_linguistics_mix
M01,Parties du même genre,law,text_id d00171,"['una', 'excepción', 'reúnen', 'las', 'condiciones', 'necesarias', 'con', 'arreglo']","['E6--FS', 'N5-FS', 'VDR3P-', 'AFP', 'N5-FP', 'JQ--FP', 'P', 'N5-MS']",una excepción reúnen las condiciones necesarias con arreglo,"a propuesta de la Comisión , decidirá qué Estados miembros acogidos auna excepción reúnen las condiciones necesarias con arregloa los criterios expuestos en el apartado 1 de el artículo 109","['E6--FS', 'AFP']",TRUE,mix,M01_law_mix
M01,Parties du même genre,linguistics,text_id l00169,"['el', 'hablante', 'une', 'la', 'referencia', 'a', 'el', 'concepto']","['AMS', 'N5-6S', 'VDR3S-', 'AFS', 'N5-FS', 'P', 'AMS', 'N5-MS']",el hablante une la referencia a el concepto,sido motivo de numerosas discusiones . Engelkamp ( 1983:25 ) considera queel hablante une la referencia a el conceptode diferentes formas : el sujeto reconoce características apreciables a_través_de los sentidos,"['AMS', 'AFS', 'AMS']",TRUE,def,M01_linguistics_def
M01,Parties du même genre,linguistics,text_id l00416,"['el', 'texto', 'para', 'agrupar', 'los', 'lemas', 'según', 'su', 'categoría']","['AMS', 'N5-MS', 'P', 'VI----', 'AMP', 'N5-MP', 'P', 'JP636S', 'N5-FS']",el texto para agrupar los lemas según su categoría,"y únicamente hemos utilizado la información gramatical de el etiquetado morfológico deel texto para agrupar los lemas según su categoríagramatical . Sin_embargo , la información que poseemos gracias a el etiquetado","['AMS', 'AMP']",TRUE,def,M01_linguistics_def
M01,Parties du même genre,linguistics,text_id l00097,"['la', 'hora', 'de', 'agrupar', 'los', 'argumentos', 'hemos', 'de', 'hacer']","['AFS', 'N5-FS', 'P', 'VI----', 'AMP', 'N5-MP', 'VDR1P-', 'P', 'VI----']",la hora de agrupar los argumentos hemos de hacer,"normativo ) : humorística , dadaística , de humor Por_lo_tanto , ala hora de agrupar los argumentos hemos de haceruna primera clasificación que los subdivida en tres acepciones diferentes , ya","['AFS', 'AMP']",TRUE,def,M01_linguistics_def
M01,Parties du même genre,environment,text_id a00242,"['El', 'equipo', 'auditor', 'agrupó', 'la', 'información', 'de', 'las', 'entradas']","['AMS', 'N5-MS', 'N5-MS', 'VDP3S-', 'AFS', 'N5-FS', 'P', 'AFP', 'N5-FP']",El equipo auditor agrupó la información de las entradas,"a el Plan_de_Minimización . Resumen de la información de entrada y salidaEl equipo auditor agrupó la información de las entradasde materiales y las salidas de productos , subproductos , residuos y","['AMS', 'AFS', 'AFP']",TRUE,def,M01_environment_def
M01,Parties du même genre,environment,text_id a00030,"['el', 'medio', 'ambiente', 'reúne', 'las', 'condiciones', 'necesarias', 'para', 'ser']","['AMS', 'N5-MS', 'JQ--6S', 'VDR3S-', 'AFP', 'N5-FP', 'JQ--FP', 'P', 'VI----']",el medio ambiente reúne las condiciones necesarias para ser,"a el sistema . Las argumentaciones constitucionales anteriores ponen de manifiesto queel medio ambiente reúne las condiciones necesarias para serincluido en la consideración de bien primario . El segundo criterio ,","['AMS', 'AFP']",TRUE,def,M01_environment_def
M01,Parties du même genre,environment,text_id a00040,"['el', 'medio', 'ambiente', 'y', 'agrupar', 'las', 'operaciones', 'y', 'procesos', 'necesarios']","['AMS', 'N5-MS', 'JQ--6S', 'C', 'VI----', 'AFP', 'N5-FP', 'C', 'N5-MP', 'JQ--MP']",el medio ambiente y agrupar las operaciones y procesos necesarios,precisa antes_de_que el agua residual pueda reutilizar se o verter se ael medio ambiente y agrupar las operaciones y procesos necesariospara obtener ese grado de tratamiento requerido . Los contaminantes de mayor,"['AMS', 'AFP']",TRUE,def,M01_environment_def
M01,Parties du même genre,environment,text_id a00327,"['los', 'ACGs', 'agrupan', 'los', 'CIE10', 'en', 'grupos', 'homogéneos']","['AMP', 'N4666', 'VDR3P-', 'AMP', 'N4666', 'P', 'N5-MP', 'JQ--MP']",los ACGs agrupan los CIE10 en grupos homogéneos,mediante la metodología de APDRG . Esto se debe básicamente a quelos ACGs agrupan los CIE10 en grupos homogéneossegún el consumo de recursos en relación con AP . En nuestro,"['AMP', 'AMP']",TRUE,def,M01_environment_def
M01,Parties du même genre,economy,text_id e00143,"['una', 'línea', 'de', 'veleros', 'unía', 'el', 'puerto', 'de', 'el', 'Mersey']","['E6--FS', 'N5-FS', 'P', 'N5-MP', 'VDA6S-', 'AMS', 'N5-MS', 'P', 'AMS', 'N4666']",una línea de veleros unía el puerto de el Mersey,"algodón a Liverpool ya no contaban con barcos propios . Desde 1817una línea de veleros unía el puerto de el Merseycon Nueva_York , permitiendo un flujo regular y continuado de intercambios .","['E6--FS', 'AMS', 'AMS']",TRUE,mix,M01_economy_mix
M02,Parties du même genre,law,text_id d00055,"['reúna', 'los', 'requisitos', 'reglamentariamente', 'establecidos', 'y', 'en', 'el', 'contrato', 'menor', 'de', 'obras']","['VJR6S-', 'AMP', 'N5-MP', 'D', 'VC--PM', 'C', 'P', 'AMS', 'N5-MS', 'JQ--6S', 'P', 'N5-FP']",reúna los requisitos reglamentariamente establecidos y en el contrato menor de obras,"gasto y la incorporación a el mismo de la factura correspondiente quereúna los requisitos reglamentariamente establecidos y en el contrato menor de obras, además , el presupuesto de las obras , sin perjuicio de","['AMP', 'AMS']",TRUE,def,M02_law_def
M02,Parties du même genre,law,text_id d00115,"['reúnan', 'los', 'requisitos', 'generales', 'establecidos', 'en', 'la', 'disposición', 'adicional', 'decimosexta', 'de']","['VJR3P-', 'AMP', 'N5-MP', 'JQ--6P', 'VC--PM', 'P', 'AFS', 'N5-FS', 'JQ--6S', 'JQ--FS', 'P']",reúnan los requisitos generales establecidos en la disposición adicional decimosexta de,concurso de méritos entre los funcionarios docentes de los correspondientes cuerpos quereúnan los requisitos generales establecidos en la disposición adicional decimosexta deesta ley . Las tres primeras convocatorias de ingreso en la función,"['AMP', 'AFS']",TRUE,def,M02_law_def
M02,Parties du même genre,law,text_id d00111,"['reúne', 'las', 'condiciones', 'establecidas', 'en', 'la', 'lista', 'correspondiente', 'a', 'ese']","['VDR3S-', 'AFP', 'N5-FP', 'VC--PF', 'P', 'AFS', 'N5-FS', 'JQ--6S', 'P', 'ED--MS']",reúne las condiciones establecidas en la lista correspondiente a ese,"Por_consiguiente , si un producto que ha adquirido el carácter originario porquereúne las condiciones establecidas en la lista correspondiente a eseproducto es utilizado en la fabricación de otro producto distinto , no","['AFP', 'AFS']",TRUE,def,M02_law_def
M02,Parties du même genre,law,text_id d00120,"['reúnen', 'los', 'valores', 'descritos', 'en', 'el', 'artículo', '1']","['VDR3P-', 'AMP', 'N5-MP', 'VC--PM', 'P', 'AMS', 'N5-MS', 'X']",reúnen los valores descritos en el artículo 1,"pese a no haber sido objeto de declaración ni de catalogación ,reúnen los valores descritos en el artículo 1. En cualquier caso , forman parte de el patrimonio cultural catalán","['AMP', 'AMS']",TRUE,def,M02_law_def
M02,Parties du même genre,law,text_id d00061,"['reúnan', 'la', 'condición', 'general', 'exigida', 'en', 'el', 'apartado', '1', 'de', 'el']","['VJR3P-', 'AFS', 'N5-FS', 'JQ--6S', 'VC--SF', 'P', 'AMS', 'N5-MS', 'X', 'P', 'AMS']",reúnan la condición general exigida en el apartado 1 de el,se refiere el artículo anterior los trabajadores integrados en este Régimen_General quereúnan la condición general exigida en el apartado 1 de elartículo 124 y hayan sido dados de alta médica . Incompatibilidad con,"['AFS', 'AMS', 'AMS']",TRUE,def,M02_law_def
M02,Parties du même genre,computer_science,text_id i00132,"['unía', 'el', 'descenso', 'en', 'las', 'cifras', 'de', 'circulación']","['VDA6S-', 'AMS', 'N5-MS', 'P', 'AFP', 'N5-FP', 'P', 'N5-FS']",unía el descenso en las cifras de circulación,"y a la distribución física de los periódicos ; a esto seunía el descenso en las cifras de circulaciónque se observaba desde la década de los sesenta y , lo","['AMS', 'AFP']",TRUE,def,M02_computer_science_def
M02,Parties du même genre,general,text_id g20124,"['reúne', 'el', 'agua', 'más', 'pesada', 'ºc', 'en', 'el', 'fondo', 'de', 'los', 'estanques']","['VDR3S-', 'AMS', 'N5-FS', 'D', 'JQ--FS', 'JQ--6S', 'P', 'AMS', 'N5-MS', 'P', 'AMP', 'N5-MP']",reúne el agua más pesada ºc en el fondo de los estanques,"más ligero que el mismo volumen de agua . En invierno sereúne el agua más pesada ºc en el fondo de los estanquesy mares . El agua más fría sube , por ser más","['AMS', 'AMS', 'AMP']",FALSE,def,M02_general_def
M02,Parties du même genre,general,text_id g20350,"['unan', 'los', 'datos', 'recogidos', 'en', 'el', 'pueblo', 'con', 'el', 'resultado']","['VJR3P-', 'AMP', 'N5-MP', 'VC--PM', 'P', 'AMS', 'N5-MS', 'P', 'AMS', 'N5-MS']",unan los datos recogidos en el pueblo con el resultado,"el desarrollo de los acontecimientos comenzará a desvelar se cuando los investigadoresunan los datos recogidos en el pueblo con el resultadode ambas autopsias , que los expertos de el Institut_de_Medicina_Legal_de_Catalunya practicarán hoy","['AMP', 'AMS', 'AMS']",FALSE,def,M02_general_def
M02,Parties du même genre,general,text_id g00501,"['agrupó', 'las', 'actividades', 'petroleras', 'en', 'la', 'sociedad', 'Ertoil']","['VDP3S-', 'AFP', 'N5-FP', 'JQ--FP', 'P', 'AFS', 'N5-FS', 'N4666']",agrupó las actividades petroleras en la sociedad Ertoil,", en 1989 , Ercros separó las diferentes áreas de negocio yagrupó las actividades petroleras en la sociedad Ertoil, que se quedó con los activos de la antigua Explosivos_Riotinto ,","['AFP', 'AFS']",FALSE,def,M02_general_def
M02,Parties du même genre,general,text_id g20807,"['reúne', 'los', 'ingredientes', 'presentes', 'en', 'los', 'mensajes']","['VDR3S-', 'AMP', 'N5-MP', 'JQ--6P', 'P', 'AMP', 'N5-MP']",reúne los ingredientes presentes en los mensajes,"titulado ' Para que no nos sigan engañando , pása lo 'reúne los ingredientes presentes en los mensajesque buscan la distribución masiva a_través_de el boca a boca en Internet","['AMP', 'AMP']",FALSE,def,M02_general_def
M02,Parties du même genre,environment,text_id a00325,"['una', 'la', 'integración', 'de', 'los', 'mismos', 'en', 'los', 'sistemas', 'de', 'control', 'automático']","['VJR6S-', 'AFS', 'N5-FS', 'P', 'AMP', 'EN--66', 'P', 'AMP', 'N5-MP', 'P', 'N5-MS', 'JQ--MS']",una la integración de los mismos en los sistemas de control automático,"control proveen sensores de conductividad aptos para uso industrial , haciendo posibleuna la integración de los mismos en los sistemas de control automáticode las plantas de producción . Esto permite el monitoreo en tiempo","['AFS', 'AMP', 'AMP']",TRUE,def,M02_environment_def
M02,Parties du même genre,medicine,text_id m00188,"['une', 'los', 'lóbulos', 'laterales', 'en', 'la', 'línea', 'media', 'anterior', 'a']","['VDR3S-', 'AMP', 'N5-MP', 'JQ--6P', 'P', 'AFS', 'N5-FS', 'JQ--FS', 'JQ--6S', 'P']",une los lóbulos laterales en la línea media anterior a,de pie por detrás de el sujeto sentado . El itsmo tiroideoune los lóbulos laterales en la línea media anterior ael segundo o tercer cartílagos traqueales El primer cartílago y el istmo,"['AMP', 'AFS']",TRUE,def,M02_medicine_def
M02,Parties du même genre,medicine,text_id m00168,"['une', 'la', 'cadena', 'peptídica', 'en', 'el', 'tRNA', 'en', 'el', 'sitio']","['VDR3S-', 'AFS', 'N5-FS', 'JQ--FS', 'P', 'AMS', 'N4666', 'P', 'AMS', 'N5-MS']",une la cadena peptídica en el tRNA en el sitio,32.4A y B ) . Se produce una reacción de transpeptidación queune la cadena peptídica en el tRNA en el sitioP a el aminoácido sobre el tRNA entrante en el sitio A,"['AFS', 'AMS', 'AMS']",TRUE,def,M02_medicine_def
M02,Parties du même genre,medicine,text_id m00942,"['agrupado', 'los', 'casos', 'en', 'los', 'períodos', '1975-1979', 'y', '1980']","['VC--SM', 'AMP', 'N5-MP', 'P', 'AMP', 'N5-MP', 'X', 'C', 'X']",agrupado los casos en los períodos 1975-1979 y 1980,"el aparato genital femenino durante el período de estudio , se hanagrupado los casos en los períodos 1975-1979 y 1980- 1984 , para cada quinquenio se ha obtenido la tasa de","['AMP', 'AMP']",TRUE,def,M02_medicine_def
M03,Parties du même genre,general,text_id g21028,"['agrupado', 'en', 'el', 'Movimiento_de_Liberación_Digital', 'para', 'intentar', 'cambiar', 'la', 'decisión', 'de', 'los', 'políticos']","['VC--SM', 'P', 'AMS', 'N4666', 'P', 'VI----', 'VI----', 'AFS', 'N5-FS', 'P', 'AMP', 'JQ--MP']",agrupado en el Movimiento_de_Liberación_Digital para intentar cambiar la decisión de los políticos,"La_Red , no en la calle , donde numerosos chilenos se hanagrupado en el Movimiento_de_Liberación_Digital para intentar cambiar la decisión de los políticoschilenos . Así , su forma de trabajo es la conocida como","['AMS', 'AFS', 'AMP']",FALSE,def,M03_general_def
M03,Parties du même genre,general,text_id g20892,"['reunían', 'en', 'el', 'castillo', 'sobre', 'el', 'Danubio', 'tres', 'grandes', 'líderes']","['VDA3P-', 'P', 'AMS', 'N5-MS', 'P', 'AMS', 'N4666', 'X', 'JQ--6P', 'N5-6P']",reunían en el castillo sobre el Danubio tres grandes líderes,medio después - mañana se cumplirán 15 años de ello - sereunían en el castillo sobre el Danubio tres grandes líderesde el momento para emular a los reyes en sus buenas razones,"['AMS', 'AMS']",FALSE,def,M03_general_def
M03,Parties du même genre,general,text_id g20709,"['reúnen', 'en', 'la', 'Cumbre_del_Clima', 'EL', 'PAÍS', 'Delegados', 'de', 'casi']","['VDR3P-', 'P', 'AFS', 'N4666', 'AMS', 'N5-MS', 'N5-MP', 'P', 'D']",reúnen en la Cumbre_del_Clima EL PAÍS Delegados de casi,estimulado el cambio de hábitos en los consumidores . 190 países sereúnen en la Cumbre_del_Clima EL PAÍS Delegados de casi190 países inauguraron ayer la cumbre de el clima de Montreal (,"['AFS', 'AMS']",FALSE,def,M03_general_def
M03,Parties du même genre,general,text_id g20694,"['agruparon', 'en', 'las', 'bocanas', 'de', 'los', 'puertos', 'de', 'Valencia']","['VDP3P-', 'P', 'AFP', 'N5-FP', 'P', 'AMP', 'N5-MP', 'P', 'N4666']",agruparon en las bocanas de los puertos de Valencia,". Los barcos , que llevan sin faenar una semana , seagruparon en las bocanas de los puertos de Valencia, Castellón , Peñíscola , Gandía , Denia y Alicante . Varios","['AFP', 'AMP']",FALSE,def,M03_general_def
M03,Parties du même genre,general,text_id g00310,"['agrupado', 'en', 'la', 'Campaña_Mundial', 'por', 'la', 'Educación', 'para', 'Todos']","['VC--SM', 'P', 'AFS', 'N4666', 'P', 'AFS', 'N4666', 'P', 'N4666']",agrupado en la Campaña_Mundial por la Educación para Todos,"añade . Dentro de las ONG , el sector más inquieto estáagrupado en la Campaña_Mundial por la Educación para Todos, una coalición de 400 organizaciones que , según un chiste-consigna nacido","['AFS', 'AFS']",FALSE,def,M03_general_def
