cm,type,field,text_id,target_tokens,target_tags,sentence,context,det,specialized_lang,det_sum
M01,Parties du même genre,law,text_id d00111,"['la', 'mezcla', 'no', 'reúnen', 'las', 'condiciones', 'establecidas', 'en', 'el']","['AFS', 'N5-FS', 'D', 'VDR3P-', 'AFP', 'N5-FP', 'VC--PF', 'P', 'AMS']",la mezcla no reúnen las condiciones establecidas en el,", incluso de clase diferente , si uno o más componentes dela mezcla no reúnen las condiciones establecidas en elpresente Protocolo para considerar los productos originarios de el EEE ; el","['AFS', 'AFP', 'AMS']",TRUE,def
M01,Parties du même genre,general,text_id g21021,"['el', 'hotel', 'Martinez', 'no', 'se', 'reúne', 'el', 'jurado', 'ni', 'se', 'proyectan']","['AMS', 'N5-MS', 'N4666', 'D', 'R6EZZZZ', 'VDR3S-', 'AMS', 'N5-MS', 'C', 'R6EZZZZ', 'VDR3P-']",el hotel Martinez no se reúne el jurado ni se proyectan,"mucho - lo que aquí suceda . En la séptima planta deel hotel Martinez no se reúne el jurado ni se proyectanpelículas , pero aquí se instala el cuartel general de esta firma","['AMS', 'AMS']",FALSE,def
M01,Parties du même genre,general,text_id g20801,"['los', 'textos', 'recibidos', 'no', 'reúnen', 'la', 'calidad', 'necesaria']","['AMP', 'N5-MP', 'VC--PM', 'D', 'VDR3P-', 'AFS', 'N5-FS', 'JQ--FS']",los textos recibidos no reúnen la calidad necesaria,"posponer el tiempo que haga falta la publicación si se aprecia quelos textos recibidos no reúnen la calidad necesaria. Ciertamente , es muy importante verificar las informaciones . Para evitar","['AMP', 'AFS']",FALSE,def
M01,Parties du même genre,economy,text_id e00142,"['la', 'igualdad', 'no', 'varía', 'y', 'reunimos', 'los', 'términos', 'con', 'incógnita', 'en']","['AFS', 'N5-FS', 'D', 'VDR3S-', 'C', 'VD61P-', 'AMP', 'N5-MP', 'P', 'N5-FS', 'P']",la igualdad no varía y reunimos los términos con incógnita en,"dividimos los dos miembros de una igualdad por un mismo número ,la igualdad no varía y reunimos los términos con incógnita enuno de los miembros de la igualdad y los términos independientes en","['AFS', 'AMP']",TRUE,def
M01,Parties du même genre,general,text_id g20775,"['el', 'IAC', 'no', 'han', 'podido', 'reunir', 'el', 'dinero', 'que', 'falta', 'para']","['AMS', 'N4666', 'D', 'VDR3P-', 'VC--SM', 'VI----', 'AMS', 'N5-MS', 'C', 'N5-FS', 'P']",el IAC no han podido reunir el dinero que falta para,"municipalidad de Barranco . Pero , desde entonces , los directivos deel IAC no han podido reunir el dinero que falta paraterminar la obra , antes_de_que se cumpla el plazo en que se","['AMS', 'AMS']",FALSE,def
M01,Parties du même genre,general,text_id g00490,"['la', 'madre', 'no', 'reúna', 'los', 'requisitos', 'de', 'cotización', 'mínima']","['AFS', 'N5-FS', 'D', 'VJR6S-', 'AMP', 'N5-MP', 'P', 'N5-FS', 'JQ--FS']",la madre no reúna los requisitos de cotización mínima,de descanso ( a excepción de las seis primeras semanas ) cuandola madre no reúna los requisitos de cotización mínimapara disfrutar de ésta por llevar poco tiempo trabajando . En los,"['AFS', 'AMP']",FALSE,def
M12,Parties du genre différent,general,text_id g00526,"['el', 'acervo', 'comunitario', 'y', 'no', 'mezclar', 'las', 'negociaciones', 'de', 'la', 'ampliación']","['AMS', 'N5-MS', 'JQ--MS', 'C', 'D', 'VI----', 'AFP', 'N5-FP', 'P', 'AFS', 'N5-FS']",el acervo comunitario y no mezclar las negociaciones de la ampliación,. Para eso hay que cumplir dos principios básicos : respeto ael acervo comunitario y no mezclar las negociaciones de la ampliacióncon la reforma de las políticas comunitarias y de el marco financiero,"['AMS', 'AFP', 'AFS']",FALSE,def
M12,Parties du genre différent,general,text_id g00526,"['Los', 'artistas', 'no', 'sólo', 'mezclan', 'los', 'procedimientos', 'más', 'variados']","['AMP', 'N5-6P', 'D', 'D', 'VDR3P-', 'AMP', 'N5-MP', 'D', 'JQ--MP']",Los artistas no sólo mezclan los procedimientos más variados,") , de Carmen_Calvo . Nuevos derroteros en épocas de marasmo .Los artistas no sólo mezclan los procedimientos más variados, sino que proponen nuevas miradas a la tradición y procuran dar","['AMP', 'AMP']",FALSE,def
M19,Parties du genre différent,medicine,text_id m00183,"['concentración', 'de', 'el', 'agua', 'no', 'se', 'incluye', 'en', 'los', 'cálculos', 'de', 'estas', 'razones']","['N5-FS', 'P', 'AMS', 'N5-FS', 'D', 'R6EZZZZ', 'VDR3S-', 'P', 'AMP', 'N5-MP', 'P', 'ED--FP', 'N5-FP']",concentración de el agua no se incluye en los cálculos de estas razones,"G ) y alanina ( A ) : Por convenio , laconcentración de el agua no se incluye en los cálculos de estas razonesde equilibrio . El equilibrio se encuentra claramente en la dirección de","['AMS', 'AMP']",TRUE,def
M19,Parties du genre différent,medicine,text_id m00183,"['concentraciones', 'de', 'los', 'reactivos', 'en', 'la', 'célula', 'no', 'son', '1']","['N5-FP', 'P', 'AMP', 'N5-MP', 'P', 'AFS', 'N5-FS', 'D', 'VDR3P-', 'X']",concentraciones de los reactivos en la célula no son 1,algo de los hallados en las condiciones de la célula porque lasconcentraciones de los reactivos en la célula no son 1M . Un potencial reductor positivo significa que la molécula o el,"['AMP', 'AFS']",TRUE,def
M19,Parties du genre différent,general,text_id g21007,"['concentración', 'de', 'los', 'gases', 'de', 'efecto', 'invernadero', 'en', 'la', 'atmósfera', 'no', 'supere', 'las']","['N5-FS', 'P', 'AMP', 'N5-MP', 'P', 'N5-MS', 'N5-MS', 'P', 'AFS', 'N5-FS', 'D', 'VJR6S-', 'AFP']",concentración de los gases de efecto invernadero en la atmósfera no supere las,"se adopta un fuerte control , de manera que en 2030 laconcentración de los gases de efecto invernadero en la atmósfera no supere las535 partes por millón ( ppm ) , el coste puede ser","['AMP', 'AFS', 'AFP']",FALSE,def
M25,Parties liées par rapprochement,linguistics,text_id l00399,"['recopilación', 'de', 'términos', 'no', 'puede', 'partir', 'de', 'las', 'formas', 'sino', 'de', 'los']","['N5-FS', 'P', 'N5-MP', 'D', 'VDR3S-', 'VI----', 'P', 'AFP', 'N5-FP', 'C', 'P', 'AMP']",recopilación de términos no puede partir de las formas sino de los,"contradicen los principios de la teoría . Así , el proceso derecopilación de términos no puede partir de las formas sino de losconceptos ( método onomasiológico ) , y en consecuencia no puede ser","['AFP', 'AMP']",TRUE,def
M25,Parties liées par rapprochement,general,text_id g21009,"['colección', 'de', 'soldaditos', 'no', 'sólo', 'de', 'plomo']","['N5-FS', 'P', 'N5-MP', 'D', 'D', 'P', 'N5-MS']",colección de soldaditos no sólo de plomo,", fallecido el pasado año . Él fue el artífice de lacolección de soldaditos no sólo de plomo. Su padre le regaló de niño las primeras figuras y ya",[],FALSE,no_det
M35,Parties liées par jonction,general,text_id g20080,"['conectaron', 'a', 'Muhammad', 'y', 'Malvo', 'con', 'el', 'suceso', 'de', 'Alabama', 'no']","['VDP3P-', 'P', 'N4666', 'C', 'N4666', 'P', 'AMS', 'N5-MS', 'P', 'N4666', 'D']",conectaron a Muhammad y Malvo con el suceso de Alabama no,había sufrido heridas graves en la cabeza . Los detalles exactos queconectaron a Muhammad y Malvo con el suceso de Alabama noestaban claros ayer . Se sabía que el arma utilizada entonces no,['AMS'],FALSE,def
M35,Parties liées par jonction,general,text_id g20259,"['ligar', 'a', 'el', 'incremento', 'de', 'la', 'productividad', 'y', 'no', 'a']","['VI----', 'P', 'AMS', 'N5-MS', 'P', 'AFS', 'N5-FS', 'C', 'D', 'P']",ligar a el incremento de la productividad y no a,ha insistido en reiteradas ocasiones que los aumentos salariales se tienen queligar a el incremento de la productividad y no ael IPC . Para los sindicatos esto supone que los salarios crezcan,"['AMS', 'AFS']",FALSE,def
M36,Parties liées par jonction,medicine,text_id m00310,"['el', 'marcador', 'no', 'esté', 'ligado', 'a', 'el', 'gen', 'patológico']","['AMS', 'N5-MS', 'D', 'VJR6S-', 'VC--SM', 'P', 'AMS', 'N5-MS', 'JQ--MS']",el marcador no esté ligado a el gen patológico,"que todos los no afectados hereden el otro alelo , incluso aunqueel marcador no esté ligado a el gen patológico. Este resultado engañoso es menos probable que ocurra cuando aumentamos el","['AMS', 'AMS']",TRUE,def
M36,Parties liées par jonction,general,text_id g20922,"['una', 'película', 'la', 'interpretación', 'no', 'está', 'ligada', 'a', 'la', 'música']","['E6--FS', 'N5-FS', 'AFS', 'N5-FS', 'D', 'VDR3S-', 'VC--SF', 'P', 'AFS', 'N5-FS']",una película la interpretación no está ligada a la música,"La ópera es una expresión artística diferente a el cine . Enuna película la interpretación no está ligada a la música, sino a la calidad de el actor , a el que","['E6--FS', 'AFS', 'AFS']",FALSE,mix
M36,Parties liées par jonction,general,text_id g20925,"['la', 'policía', 'no', 'está', 'conectada', 'con', 'los', 'ficheros', 'informáticos', 'de', 'la']","['AFS', 'N5-6S', 'D', 'VDR3S-', 'VC--SF', 'P', 'AMP', 'N5-MP', 'JQ--MP', 'P', 'AFS']",la policía no está conectada con los ficheros informáticos de la,"Aguilar_de_Campoo ( Palencia ) . La base de datos de desaparecidos dela policía no está conectada con los ficheros informáticos de laGuardia_Civil . Son departamentos separados , aunque confluyen en la Base_de_Datos_de_Señalamiento_Nacional (","['AFS', 'AMP', 'AFS']",FALSE,def
M39,Parties liées par fusion,environment,text_id a00116,"['el', 'desarrollo', 'si', 'no', 'se', 'incorporan', 'las', 'medidas', 'adecuadas', 'de', 'protección']","['AMS', 'N5-MS', 'C', 'D', 'R6EZZZZ', 'VDR3P-', 'AFP', 'N5-FP', 'JQ--FP', 'P', 'N5-FS']",el desarrollo si no se incorporan las medidas adecuadas de protección,"podrían verse amenazados por las presiones derivadas de los cambios económicos yel desarrollo si no se incorporan las medidas adecuadas de protecciónen el marco de el Programa_Medio_Ambiente para Europa ( PMAE ) ,","['AMS', 'AFP']",TRUE,def
M39,Parties liées par fusion,economy,text_id e00155,"['El', 'modelo', 'no', 'había', 'incorporado', 'los', 'riesgos', 'inherentes', 'a', 'el']","['AMS', 'N5-6S', 'D', 'VDA6S-', 'VC--SM', 'AMP', 'N5-MP', 'JQ--6P', 'P', 'AMS']",El modelo no había incorporado los riesgos inherentes a el,medio privilegiado de financiación hasta la crisis que estalla en agosto_de_2007 .El modelo no había incorporado los riesgos inherentes a elmercado primario ( la vivienda ) pero la crisis de las subprime,"['AMS', 'AMP', 'AMS']",TRUE,def
M39,Parties liées par fusion,general,text_id g20741,"['los', 'colegios', 'deben', 'incorporar', 'la', 'informática', 'no', 'sólo', 'a']","['AMP', 'N5-MP', 'VDR3P-', 'VI----', 'AFS', 'N5-FS', 'D', 'D', 'P']",los colegios deben incorporar la informática no sólo a,"los requisitos de la última convocatoria para centros TIC se establece quelos colegios deben incorporar la informática no sólo ala docencia , sino también a la gestión . Además , se","['AMP', 'AFS']",FALSE,def
M39,Parties liées par fusion,general,text_id g00408,"['el', 'montaje', 'no', 'incorpora', 'las', 'carteleras', 'de', 'cada', 'obra']","['AMS', 'N5-MS', 'D', 'VDR3S-', 'AFP', 'N5-FP', 'P', 'JN--6S', 'N5-FS']",el montaje no incorpora las carteleras de cada obra,"marear a el visitante y robar le en exceso su tiempo ,el montaje no incorpora las carteleras de cada obrasino que el visitante recibe a la entrada un librito con la","['AMS', 'AFP']",FALSE,def
M40,Parties liées par fusion,medicine,text_id m00310,"['La', 'información', 'adicional', 'incorporada', 'en', 'el', 'análisis', 'bayesiano', 'no', 'se']","['AFS', 'N5-FS', 'JQ--6S', 'VC--SF', 'P', 'AMS', 'N5-M6', 'JQ--MS', 'D', 'R6EZZZZ']",La información adicional incorporada en el análisis bayesiano no se,ocasiones un instrumento útil para precisar las estimaciones de el riesgo .La información adicional incorporada en el análisis bayesiano no selimita a la valoración de el estado de salud de los parientes,"['AFS', 'AMS']",TRUE,def
M40,Parties liées par fusion,linguistics,text_id l00070,"['las', 'voces', 'no', 'incorporadas', 'en', 'el', 'DRAE']","['AFP', 'N5-FP', 'D', 'VC--PF', 'P', 'AMS', 'N4666']",las voces no incorporadas en el DRAE,"edición de el Clave incluía el símbolo « ] » para identificarlas voces no incorporadas en el DRAE, información que suprimió en la segunda edición . Este ejemplo procede","['AFP', 'AMS']",TRUE,def
M44,Parties liées par fusion,medicine,text_id m00883,"['integración', 'de', 'el', 'gen', 'migrante', 'en', 'el', 'núcleo', 'no', 'es', 'exitosa']","['N5-FS', 'P', 'AMS', 'N5-MS', 'JQ--6S', 'P', 'AMS', 'N5-MS', 'D', 'VDR3S-', 'JQ--FS']",integración de el gen migrante en el núcleo no es exitosa,"mitocondrial se inactiva , y puede eventualmente desaparecer ( D ) Laintegración de el gen migrante en el núcleo no es exitosay permanece como un pseudogen , o eventualmente desaparece ( F )","['AMS', 'AMS']",TRUE,def
M45,Parties liées par inclusion,general,text_id g20040,"['clasificación', 'de', 'De_Miguel', 'no', 'gusta', 'en', 'la', 'Conferencia_de_Rectores_de_las_Universidades_Españolas']","['N5-FS', 'P', 'N4666', 'D', 'VDR3S-', 'P', 'AFS', 'N4666']",clasificación de De_Miguel no gusta en la Conferencia_de_Rectores_de_las_Universidades_Españolas,"tan recientes y pequeñas ' , como son algunas privadas . Estaclasificación de De_Miguel no gusta en la Conferencia_de_Rectores_de_las_Universidades_Españolas, que ya criticaron el primer informe . El presidente de la",['AFS'],FALSE,def
M45,Parties liées par inclusion,law,text_id d00028,"['Inclusión', 'de', 'entidades', 'no', 'inscribibles', 'en', 'la', 'Sección', 'de', 'denominaciones', '1.']","['N5-FS', 'P', 'N5-FP', 'D', 'JQ--6P', 'P', 'AFS', 'N4666', 'P', 'N5-FP', 'B']",Inclusión de entidades no inscribibles en la Sección de denominaciones 1.,utilización exista reserva temporal en los términos establecidos en este Reglamento .Inclusión de entidades no inscribibles en la Sección de denominaciones 1.En la Sección de denominación de el Registro_Mercantil_Central podrán incluir se las,['AFS'],TRUE,def
M45,Parties liées par inclusion,medicine,text_id m00883,"['integración', 'de', 'el', 'gen', 'migrante', 'en', 'el', 'núcleo', 'no', 'es', 'exitosa']","['N5-FS', 'P', 'AMS', 'N5-MS', 'JQ--6S', 'P', 'AMS', 'N5-MS', 'D', 'VDR3S-', 'JQ--FS']",integración de el gen migrante en el núcleo no es exitosa,"mitocondrial se inactiva , y puede eventualmente desaparecer ( D ) Laintegración de el gen migrante en el núcleo no es exitosay permanece como un pseudogen , o eventualmente desaparece ( F )","['AMS', 'AMS']",TRUE,def
M45,Parties liées par inclusion,medicine,text_id m00148,"['clasificación', 'de', 'los', 'modos', 'de', 'enfermar', 'en', 'afecciones', 'no', 'traumáticas']","['N5-FS', 'P', 'AMP', 'N5-MP', 'P', 'VI----', 'P', 'N5-FP', 'D', 'JQ--FP']",clasificación de los modos de enfermar en afecciones no traumáticas,"con carácter más doctrinal , él es también el que preside laclasificación de los modos de enfermar en afecciones no traumáticas( noúsema ) y afecciones traumáticas ( troma , páthema ) ,",['AMP'],TRUE,def
M46,Parties liées par inclusion,general,text_id g20105,"['ensamblaje', 'en', 'el', 'país', 'no', 'pagase', 'alguno', 'de', 'los', 'impuestos', 'contemplados', 'en', 'los']","['N5-MS', 'P', 'AMS', 'N5-MS', 'D', 'VJA6S-', 'RN-----', 'P', 'AMP', 'N5-MP', 'VC--PM', 'P', 'AMP']",ensamblaje en el país no pagase alguno de los impuestos contemplados en los,"partes o piezas o de vehículos semiterminados necesarios para la armaduría oensamblaje en el país no pagase alguno de los impuestos contemplados en losartículos bis y en el plazo establecido en dichas disposiciones , deberá","['AMS', 'AMP', 'AMP']",FALSE,def
M46,Parties liées par inclusion,general,text_id g20647,"['integración', 'en', 'el', 'título', 'de', 'grado', 'no', 'acaban', 'de']","['N5-FS', 'P', 'AMS', 'N5-MS', 'P', 'N5-MS', 'D', 'VDR3P-', 'P']",integración en el título de grado no acaban de,"de maestro . En_cambio , las filologías que se reÓpticasisten a unaintegración en el título de grado no acaban deconvencer a los estudiantes . Casi todas las especialidades mantienen cifras muy",['AMS'],FALSE,def
M47,Parties liées par inclusion,general,text_id g20060,"['el', 'coche', 'bomba', 'estaba', 'colocado', 'en', 'la', 'calle', 'trasera', 'y', 'no']","['AMS', 'N5-MS', 'N5-FS', 'VDA6S-', 'VC--SM', 'P', 'AFS', 'N5-FS', 'JQ--FS', 'C', 'D']",el coche bomba estaba colocado en la calle trasera y no,"espaldas de el edificio de la Guardia_Civil , lo que confirma queel coche bomba estaba colocado en la calle trasera y noante la fachada de el cuartel , donde está prohibido el aparcamiento","['AMS', 'AFS']",FALSE,def
M47,Parties liées par inclusion,linguistics,text_id l00463,"['el', 'término', 'no', 'esté', 'incluido', 'en', 'el', 'texto', 'sino']","['AMS', 'N5-MS', 'D', 'VJR6S-', 'VC--SM', 'P', 'AMS', 'N5-MS', 'C']",el término no esté incluido en el texto sino,"encuentre insertado el término . Por otra parte , puede ser queel término no esté incluido en el texto sinoque el documento en sí se denomine « oath_of_executor » . En","['AMS', 'AMS']",TRUE,def
M47,Parties liées par inclusion,linguistics,text_id l00126,"['el', 'país', 'no', 'está', 'incluido', 'en', 'el', 'nombre']","['AMS', 'N5-MS', 'D', 'VDR3S-', 'VC--SM', 'P', 'AMS', 'N5-MS']",el país no está incluido en el nombre,", grupos de trabajo , etc. ) . Si el nombre deel país no está incluido en el nombre, debe añadirse el adjetivo gentilicio correspondiente , o el nombre de","['AMS', 'AMS']",TRUE,def
M47,Parties liées par inclusion,general,text_id g20987,"['la', 'planta', 'de', 'Cádiz', 'no', 'está', 'incluida', 'en', 'la', 'propuesta', 'de', 'compra', 'mundial']","['AFS', 'N5-FS', 'P', 'N4666', 'D', 'VDR3S-', 'VC--SF', 'P', 'AFS', 'N5-FS', 'P', 'N5-FS', 'JQ--6S']",la planta de Cádiz no está incluida en la propuesta de compra mundial,"de asegurar nuevo negocio como resultado de los altos costes operacionales ,la planta de Cádiz no está incluida en la propuesta de compra mundialde el negocio de direcciones , por lo cual no queda otra","['AFS', 'AFS']",FALSE,def
M47,Parties liées par inclusion,general,text_id g20908,"['la', 'tarjeta', 'no', 'está', 'integrada', 'en', 'la', 'placa', 'base']","['AFS', 'N5-FS', 'D', 'VDR3S-', 'VC--SF', 'P', 'AFS', 'N5-FS', 'N5-FS']",la tarjeta no está integrada en la placa base,"y tener al_menos 128 MB de memoria . Funcionará mucho mejor sila tarjeta no está integrada en la placa base, sino de una manera independiente , así se podrá cambiar más","['AFS', 'AFS']",FALSE,def
